,Name,Psychometrics,Presentation,Date,Location
12,ROXANNA TUNSTALL,52/100,16/32,2019/01/24,Birmingham Academy
13,KONRAD MCCREADY,56/100,21/32,2019/01/24,Birmingham Academy
14,GOOBER SULLY,46/100,20/32,2019/01/24,Birmingham Academy
15,ZOE SCHLAG,59/100,20/32,2019/01/24,Birmingham Academy
16,THURSTON VENES,54/100,19/32,2019/01/24,Birmingham Academy
17,JORRY VARLEY,54/100,21/32,2019/01/24,Birmingham Academy
18,HALLIE ROBBEKE,51/100,21/32,2019/01/24,Birmingham Academy
19,LUTERO WINNING,58/100,23/32,2019/01/24,Birmingham Academy
20,RONALDA RICHMOND,63/100,21/32,2019/01/24,Birmingham Academy
21,SYBIL MAYDWAY,60/100,25/32,2019/01/24,Birmingham Academy
22,KIAH PITTWOOD,68/100,18/32,2019/01/24,Birmingham Academy
23,CRAIG FERRIBY,55/100,19/32,2019/01/24,Birmingham Academy
24,MEL LAFONTAINE,64/100,19/32,2019/01/24,Birmingham Academy
25,MARLON TOMALA,59/100,15/32,2019/01/24,Birmingham Academy
26,OLIN GARIFF,58/100,15/32,2019/01/24,Birmingham Academy
27,FINDLEY MCANDIE,49/100,27/32,2019/01/24,Birmingham Academy
0,NORA AKERS,61/100,23/32,2019/07/24,London Academy
1,FRANCKLYN LEYNINYE,59/100,22/32,2019/07/24,London Academy
2,JULISSA DUMBLETON,57/100,19/32,2019/07/24,London Academy
3,ELISE SOPPETH,57/100,22/32,2019/07/24,London Academy
4,KERR ALLANSON,58/100,21/32,2019/07/24,London Academy
5,BERTY SAYE,44/100,22/32,2019/07/24,London Academy
6,HURLEY COLLYER,70/100,24/32,2019/07/24,London Academy
7,HORTEN GOBLE,65/100,24/32,2019/07/24,London Academy
8,KATRINE WESTLEY,66/100,21/32,2019/07/24,London Academy
9,INGRID CRADICK,65/100,24/32,2019/07/24,London Academy
10,VALERY DELIA,56/100,23/32,2019/07/24,London Academy
11,ANDREY COCHRAN,55/100,25/32,2019/07/24,London Academy
12,BRYANTY BROSNAN,48/100,19/32,2019/07/24,London Academy
13,VIRGILIO DUDDY,46/100,23/32,2019/07/24,London Academy
14,RAIMONDO MELLODEY,65/100,23/32,2019/07/24,London Academy
15,NEVIL PENHALIGON,57/100,21/32,2019/07/24,London Academy
16,CLEMENTINE GREEDIER,67/100,17/32,2019/07/24,London Academy
17,HARRISON FILBY,48/100,23/32,2019/07/24,London Academy
18,BRODIE CHIPPERFIELD,55/100,22/32,2019/07/24,London Academy
19,DEWITT MILBORN,52/100,18/32,2019/07/24,London Academy
20,RAVEN DERX,52/100,22/32,2019/07/24,London Academy
21,INES PLASCHKE,54/100,18/32,2019/07/24,London Academy
22,AHMAD SHREEVES,44/100,19/32,2019/07/24,London Academy
23,ALLYN SPATONI,47/100,20/32,2019/07/24,London Academy
0,RUBY BATECOK,72/100,20/32,2019/10/24,Birmingham Academy
1,ODELL DWIRE,65/100,20/32,2019/10/24,Birmingham Academy
2,JOETE GUMMORY,45/100,20/32,2019/10/24,Birmingham Academy
3,KATHRINE SUGAR,56/100,17/32,2019/10/24,Birmingham Academy
4,LANIE ROMEUF,58/100,19/32,2019/10/24,Birmingham Academy
5,GAVIN DOUGILL,52/100,14/32,2019/10/24,Birmingham Academy
6,FARLAY PITMAN,58/100,25/32,2019/10/24,Birmingham Academy
7,BANKY MCHAFFY,49/100,25/32,2019/10/24,Birmingham Academy
8,MAIGA GRIFFIN,54/100,20/32,2019/10/24,Birmingham Academy
9,TIFFANY LAUGHERANE,58/100,21/32,2019/10/24,Birmingham Academy
10,KARITA CRISSIL,57/100,19/32,2019/10/24,Birmingham Academy
11,NALANI PETZ,64/100,12/32,2019/10/24,Birmingham Academy
12,GASTON KUNC,63/100,15/32,2019/10/24,Birmingham Academy
13,THAXTER VANYUSHIN,52/100,24/32,2019/10/24,Birmingham Academy
14,LONNARD WETTON,49/100,23/32,2019/10/24,Birmingham Academy
15,VANNY GRIMSDITCH,50/100,19/32,2019/10/24,Birmingham Academy
16,JORI RISELEY,51/100,21/32,2019/10/24,Birmingham Academy
17,CORNY O'TUOHY,49/100,19/32,2019/10/24,Birmingham Academy
18,KELLY CONEYBEER,68/100,16/32,2019/10/24,Birmingham Academy
19,ABNER DEVO,36/100,22/32,2019/10/24,Birmingham Academy
20,ALMEDA JEPPE,60/100,24/32,2019/10/24,Birmingham Academy
21,AMOS CHATTELL,46/100,19/32,2019/10/24,Birmingham Academy
22,WAYLAN GORS,51/100,26/32,2019/10/24,Birmingham Academy
23,ROMY NOTHER,66/100,20/32,2019/10/24,Birmingham Academy
0,SUNSHINE BACKSHALL,55/100,21/32,2019/09/24,London Academy
1,DEMETRE COGHLAN,48/100,21/32,2019/09/24,London Academy
2,DYANNA KIDMAN,49/100,21/32,2019/09/24,London Academy
3,LLYWELLYN BECKITT,58/100,19/32,2019/09/24,London Academy
4,TADIO COLLOBY,60/100,19/32,2019/09/24,London Academy
5,DOTTI CRAUFORD,67/100,22/32,2019/09/24,London Academy
6,LURLINE SOUNESS,55/100,21/32,2019/09/24,London Academy
7,URIAH TERLINDEN,38/100,21/32,2019/09/24,London Academy
8,AGNELLA DAIRTON,69/100,15/32,2019/09/24,London Academy
9,DION ECCERSLEY,62/100,21/32,2019/09/24,London Academy
10,DORALIA DEACKES,55/100,23/32,2019/09/24,London Academy
11,GENE LEVENS,66/100,23/32,2019/09/24,London Academy
12,DANTE LITTLEY,49/100,18/32,2019/09/24,London Academy
13,ROBBIE ADESS,41/100,20/32,2019/09/24,London Academy
14,RAHAL RYMILL,48/100,22/32,2019/09/24,London Academy
15,DUNC SMALLACOMBE,58/100,20/32,2019/09/24,London Academy
16,RETA BLAIS,55/100,17/32,2019/09/24,London Academy
17,DOLLY CASARO,56/100,24/32,2019/09/24,London Academy
18,ANTONETTA RUSTEDGE,53/100,18/32,2019/09/24,London Academy
19,MILDRED MACALASTER,66/100,19/32,2019/09/24,London Academy
20,BARTEL BILLIARD,43/100,20/32,2019/09/24,London Academy
21,THORPE SIGARS,69/100,20/32,2019/09/24,London Academy
22,ENGLEBERT ORME,59/100,19/32,2019/09/24,London Academy
23,STORM HENRYSON,59/100,19/32,2019/09/24,London Academy
24,KALINDA LEEBETTER,54/100,22/32,2019/09/24,London Academy
25,ULRIKA SOUTHAM,53/100,24/32,2019/09/24,London Academy
26,RENADO RUBES,40/100,18/32,2019/09/24,London Academy
27,VERNON BENNOUGH,55/100,24/32,2019/09/24,London Academy
0,CHEREY TOLLFREE,59/100,18/32,2019/04/25,Birmingham Academy
1,VERENA SHEDDAN,49/100,20/32,2019/04/25,Birmingham Academy
2,NIEL SNARTT,38/100,17/32,2019/04/25,Birmingham Academy
3,FREDRICK CARVIL,53/100,18/32,2019/04/25,Birmingham Academy
4,IDELLE KIDSTOUN,54/100,17/32,2019/04/25,Birmingham Academy
5,DOROLISA CUTMERE,61/100,23/32,2019/04/25,Birmingham Academy
6,REEVA ROISTONE,47/100,22/32,2019/04/25,Birmingham Academy
7,FLSS WHITTLE,59/100,14/32,2019/04/25,Birmingham Academy
8,EMILINE BOLDEROE,64/100,22/32,2019/04/25,Birmingham Academy
9,WINNIFRED OUTRIGHT,72/100,19/32,2019/04/25,Birmingham Academy
10,BAILEY ANTRIM,59/100,17/32,2019/04/25,Birmingham Academy
11,PHYLLIDA MCDIARMID,52/100,21/32,2019/04/25,Birmingham Academy
12,ATLANTE BREWINS,47/100,25/32,2019/04/25,Birmingham Academy
13,TEMPLETON KRZYSZTOFIAK,58/100,18/32,2019/04/25,Birmingham Academy
14,IDELLE PIDGELEY,51/100,18/32,2019/04/25,Birmingham Academy
15,TEODORA REDWOOD,66/100,18/32,2019/04/25,Birmingham Academy
16,DEANA LEGONIDEC,62/100,22/32,2019/04/25,Birmingham Academy
17,CATI VON SALZBERG,58/100,14/32,2019/04/25,Birmingham Academy
18,JARIB RAYHILL,60/100,15/32,2019/04/25,Birmingham Academy
19,LANNY ESPOSITA,49/100,23/32,2019/04/25,Birmingham Academy
20,KONSTANTINE BADSEY,48/100,23/32,2019/04/25,Birmingham Academy
21,AVE WAUDBY,62/100,18/32,2019/04/25,Birmingham Academy
22,FIDELA DALLYWATER,58/100,20/32,2019/04/25,Birmingham Academy
23,ERTHA NUDDS,58/100,18/32,2019/04/25,Birmingham Academy
24,CONNY ROBSON,41/100,14/32,2019/04/25,Birmingham Academy
25,BOYCEY MATUSHENKO,69/100,21/32,2019/04/25,Birmingham Academy
0,GUSS TACON,61/100,12/32,2019/07/25,Birmingham Academy
1,SANDER REWBOTTOM,58/100,21/32,2019/07/25,Birmingham Academy
2,ANNIE IBBOTSON,52/100,15/32,2019/07/25,Birmingham Academy
3,DOMINI NORVEL,42/100,28/32,2019/07/25,Birmingham Academy
4,VANESSA SCHIMKE,62/100,13/32,2019/07/25,Birmingham Academy
5,NISSIE D'ANDREA,49/100,20/32,2019/07/25,Birmingham Academy
6,GISELE BEETHAM,50/100,20/32,2019/07/25,Birmingham Academy
7,JUSTIS GILHAM,54/100,20/32,2019/07/25,Birmingham Academy
8,SELA PAVESE,56/100,19/32,2019/07/25,Birmingham Academy
9,MARCELA RIDING,59/100,19/32,2019/07/25,Birmingham Academy
10,THEDRICK CHASTAGNIER,39/100,16/32,2019/07/25,Birmingham Academy
11,EMELEN ROMERA,45/100,16/32,2019/07/25,Birmingham Academy
12,PETERUS BARTOLOMEAZZI,55/100,23/32,2019/07/25,Birmingham Academy
13,IRA GRIMA,60/100,20/32,2019/07/25,Birmingham Academy
14,HURLEE HESEY,61/100,19/32,2019/07/25,Birmingham Academy
15,CORDIE DUCKERING,53/100,21/32,2019/07/25,Birmingham Academy
16,JEFFRY COCKMAN,54/100,10/32,2019/07/25,Birmingham Academy
17,LEOPOLD BOICHAT,60/100,23/32,2019/07/25,Birmingham Academy
18,GRANT HASNEY,48/100,23/32,2019/07/25,Birmingham Academy
19,COLEMAN MARTYNKA,57/100,23/32,2019/07/25,Birmingham Academy
20,BRENDON CORBALLY,47/100,13/32,2019/07/25,Birmingham Academy
21,ORALIA CHAIKOVSKI,55/100,23/32,2019/07/25,Birmingham Academy
22,CLARKE CRADOC,61/100,27/32,2019/07/25,Birmingham Academy
23,ROIS COVEY,55/100,23/32,2019/07/25,Birmingham Academy
24,ALLYCE ATTWILL,55/100,23/32,2019/07/25,Birmingham Academy
25,LAYNE MCALINE,50/100,21/32,2019/07/25,Birmingham Academy
26,ANTONIE CORAM,53/100,27/32,2019/07/25,Birmingham Academy
27,NANI MEASOM,63/100,18/32,2019/07/25,Birmingham Academy
28,ELWIN COLLUMBINE,47/100,19/32,2019/07/25,Birmingham Academy
29,EVVY ALLCOCK,64/100,22/32,2019/07/25,Birmingham Academy
0,AURELEA LEASON,51/100,19/32,2019/06/25,London Academy
1,MARCHALL POCKLINGTON,58/100,18/32,2019/06/25,London Academy
2,GIULIETTA DISSMAN,62/100,19/32,2019/06/25,London Academy
3,NEHEMIAH TACKLE,44/100,26/32,2019/06/25,London Academy
4,LIND FEREBEE,51/100,25/32,2019/06/25,London Academy
5,MALIA CHECCUCCI,57/100,21/32,2019/06/25,London Academy
6,FANCIE COSTER,66/100,21/32,2019/06/25,London Academy
7,SHEL BOLZEN,59/100,18/32,2019/06/25,London Academy
8,MATILDA MATTIESSEN,59/100,22/32,2019/06/25,London Academy
9,FRANCKLIN WARRINGTON,51/100,21/32,2019/06/25,London Academy
10,HULDA BALES,58/100,22/32,2019/06/25,London Academy
11,SOPHEY SKYPP,45/100,20/32,2019/06/25,London Academy
12,MAREN BURGOTT,38/100,21/32,2019/06/25,London Academy
13,PRESCOTT ALFUSO,51/100,20/32,2019/06/25,London Academy
14,JUDIE LOWY,65/100,20/32,2019/06/25,London Academy
15,HOMERE STENTIFORD,64/100,24/32,2019/06/25,London Academy
16,MAC BIRKINSHAW,56/100,8/32,2019/06/25,London Academy
17,KELLEN BENTICK,53/100,22/32,2019/06/25,London Academy
18,TRESCHA GENDRICH,51/100,14/32,2019/06/25,London Academy
19,PAXTON MCGINLAY,63/100,15/32,2019/06/25,London Academy
20,AGUSTIN RODERIGHI,38/100,21/32,2019/06/25,London Academy
21,PHILLY JERRIM,56/100,16/32,2019/06/25,London Academy
22,SANDI GURTON,62/100,27/32,2019/06/25,London Academy
23,LEVY STANDAGE,57/100,17/32,2019/06/25,London Academy
24,LANNI OTTON,62/100,19/32,2019/06/25,London Academy
25,ALLX MACDEARMAID,59/100,16/32,2019/06/25,London Academy
26,JARROD DRIFFE,68/100,17/32,2019/06/25,London Academy
27,JUDD ABRAHM,55/100,21/32,2019/06/25,London Academy
28,KAT RIGARD,57/100,20/32,2019/06/25,London Academy
29,AMOS DEBILL,51/100,19/32,2019/06/25,London Academy
30,COSTANZA PYKE,67/100,19/32,2019/06/25,London Academy
31,OTHILIA HUCKER,65/100,21/32,2019/06/25,London Academy
32,SILVAIN KUHWALD,61/100,21/32,2019/06/25,London Academy
0,RICKIE BURKERT,54/100,19/32,2019/09/25,London Academy
1,ANDRIANA DUNNIOM,57/100,16/32,2019/09/25,London Academy
2,SHERWIN MCILWRAITH,63/100,22/32,2019/09/25,London Academy
3,IOLANDE TREVERS,61/100,23/32,2019/09/25,London Academy
4,ORALLA COPELLI,55/100,25/32,2019/09/25,London Academy
5,FOSS TILIO,48/100,19/32,2019/09/25,London Academy
6,TULLEY FISBBURNE,59/100,14/32,2019/09/25,London Academy
7,DASIE JUSTIS,49/100,24/32,2019/09/25,London Academy
8,ELVINA JUDD,60/100,19/32,2019/09/25,London Academy
9,EIMILE JOBEY,51/100,22/32,2019/09/25,London Academy
10,ANESTASSIA GADMAN,58/100,19/32,2019/09/25,London Academy
11,WILLI LAKENDEN,48/100,20/32,2019/09/25,London Academy
12,REG GAINES,52/100,19/32,2019/09/25,London Academy
13,CHES KENIWELL,44/100,18/32,2019/09/25,London Academy
14,DARYA DELAFONT,57/100,20/32,2019/09/25,London Academy
15,MYRTA TISSELL,52/100,21/32,2019/09/25,London Academy
16,ROBIN GILLEON,41/100,21/32,2019/09/25,London Academy
17,GERTA LEONARDS,67/100,19/32,2019/09/25,London Academy
18,ALEEN MCKEURTON,53/100,21/32,2019/09/25,London Academy
19,PRUDI BERNARDON,52/100,23/32,2019/09/25,London Academy
20,PRESCOTT TURPEY,62/100,22/32,2019/09/25,London Academy
21,HONOR JEANDON,58/100,19/32,2019/09/25,London Academy
22,MALCOLM WHITTIER,59/100,25/32,2019/09/25,London Academy
23,GUN BURKITT,57/100,22/32,2019/09/25,London Academy
24,PAYTON TURBARD,58/100,26/32,2019/09/25,London Academy
25,NEALON TOMPKISS,66/100,23/32,2019/09/25,London Academy
26,CRISTAL PRENDERGAST,41/100,14/32,2019/09/25,London Academy
27,NEEL CAMPANA,50/100,21/32,2019/09/25,London Academy
28,BRIANA SHORTER,60/100,19/32,2019/09/25,London Academy
29,CLYVE BOWE,49/100,26/32,2019/09/25,London Academy
30,RIP JORDESON,55/100,14/32,2019/09/25,London Academy
0,FRASIER GREEDYER,51/100,18/32,2019/02/26,London Academy
1,REESE PROSWELL,53/100,22/32,2019/02/26,London Academy
2,KIMMI BODELL,50/100,20/32,2019/02/26,London Academy
3,MART GRESER,61/100,16/32,2019/02/26,London Academy
4,AUDRYE TOBIAS,54/100,20/32,2019/02/26,London Academy
5,DEBBY MCGLYNN,57/100,17/32,2019/02/26,London Academy
6,YVETTE HAMMERBERG,49/100,18/32,2019/02/26,London Academy
7,ARTEMAS TOWSE,48/100,27/32,2019/02/26,London Academy
8,GEORG BATTMAN,60/100,24/32,2019/02/26,London Academy
9,WILLIS DEDNEY,41/100,23/32,2019/02/26,London Academy
10,LORAINE COLVILLE,54/100,24/32,2019/02/26,London Academy
11,TERRY MACVANAMY,60/100,28/32,2019/02/26,London Academy
12,SHERIDAN ANGEAU,53/100,21/32,2019/02/26,London Academy
13,HERMANN CASER,60/100,18/32,2019/02/26,London Academy
14,SAMMY GOWRIE,61/100,17/32,2019/02/26,London Academy
15,ALI SHEGOG,55/100,20/32,2019/02/26,London Academy
16,BRYANTY ZAMORRANO,47/100,24/32,2019/02/26,London Academy
17,HOWARD SHIPPERBOTTOM,69/100,22/32,2019/02/26,London Academy
18,MARMADUKE BRATCH,50/100,17/32,2019/02/26,London Academy
19,WESTON BAKES,55/100,22/32,2019/02/26,London Academy
20,EALASAID BADCOCK,63/100,20/32,2019/02/26,London Academy
21,EDIN ELIE,50/100,20/32,2019/02/26,London Academy
22,SUELLEN DOWNGATE,45/100,22/32,2019/02/26,London Academy
23,MARIKA MASSARD,54/100,18/32,2019/02/26,London Academy
24,GAL WALLWOOD,59/100,19/32,2019/02/26,London Academy
25,MAGGY O'CLEARY,53/100,15/32,2019/02/26,London Academy
26,BOBBYE HAINS,51/100,24/32,2019/02/26,London Academy
27,JARD ANTONOWICZ,52/100,20/32,2019/02/26,London Academy
28,NORAH BOWEN,65/100,15/32,2019/02/26,London Academy
0,SIMMONDS CASTLEDINE,47/100,24/32,2019/06/26,London Academy
1,JAN MANILO,60/100,18/32,2019/06/26,London Academy
2,KATHY MEEKING,52/100,24/32,2019/06/26,London Academy
3,ANNAMARIA REDHOLE,55/100,19/32,2019/06/26,London Academy
4,SIMONNE REGGLER,42/100,21/32,2019/06/26,London Academy
5,BRIDIE TOSH,61/100,9/32,2019/06/26,London Academy
6,KATHERINA BOWTON,60/100,20/32,2019/06/26,London Academy
7,KIM BESTER,62/100,22/32,2019/06/26,London Academy
8,CHERRITA ALLCHORNE,53/100,16/32,2019/06/26,London Academy
9,ROSALINDA FRIZZELL,50/100,19/32,2019/06/26,London Academy
10,BRIAN GEARD,56/100,10/32,2019/06/26,London Academy
11,CLAIRE REVILLE,46/100,18/32,2019/06/26,London Academy
12,BRIANT POPE,53/100,22/32,2019/06/26,London Academy
13,EAMON FALLS,56/100,14/32,2019/06/26,London Academy
14,SIEGFRIED GERLEIT,45/100,18/32,2019/06/26,London Academy
15,LEA NORMINGTON,59/100,20/32,2019/06/26,London Academy
16,CHARLEEN FELDBERGER,56/100,14/32,2019/06/26,London Academy
17,WILONA CREAN,59/100,21/32,2019/06/26,London Academy
18,CARLYNNE KEAL,52/100,24/32,2019/06/26,London Academy
19,BAX SWEETMAN,50/100,24/32,2019/06/26,London Academy
20,JAMIMA STURGESS,58/100,23/32,2019/06/26,London Academy
21,EDDY SMUTH,48/100,22/32,2019/06/26,London Academy
22,JEANNETTE WILLANS,63/100,21/32,2019/06/26,London Academy
23,TIRRELL TABART,52/100,23/32,2019/06/26,London Academy
24,ROLAND SKEENE,57/100,17/32,2019/06/26,London Academy
25,ABRAM SUETER,68/100,19/32,2019/06/26,London Academy
26,BAB DURNAN,47/100,17/32,2019/06/26,London Academy
27,CORDIE BOLDUC,55/100,22/32,2019/06/26,London Academy
28,FREMONT VICARY,59/100,25/32,2019/06/26,London Academy
29,CLIO LAFFLINA,61/100,25/32,2019/06/26,London Academy
30,BALDUIN GUDGION,39/100,19/32,2019/06/26,London Academy
31,ERVIN ACOSTA,59/100,20/32,2019/06/26,London Academy
32,AGUIE PRATI,61/100,19/32,2019/06/26,London Academy
33,CEIL SUERZ,48/100,23/32,2019/06/26,London Academy
34,KENDRA TWORT,57/100,21/32,2019/06/26,London Academy
35,DEXTER CLUCAS,50/100,12/32,2019/06/26,London Academy
36,SAMSON MOSEN,54/100,18/32,2019/06/26,London Academy
37,MYRTLE SATTERLY,67/100,13/32,2019/06/26,London Academy
0,ABBE HANNY,60/100,23/32,2019/03/26,London Academy
1,ANICA VALLIS,62/100,24/32,2019/03/26,London Academy
2,QUINTON KUHNT,56/100,17/32,2019/03/26,London Academy
3,GAVIN SIDES,62/100,24/32,2019/03/26,London Academy
4,CYRILL WILKISON,52/100,21/32,2019/03/26,London Academy
5,TEODOOR FLEAY,68/100,25/32,2019/03/26,London Academy
6,KASSIA WYNCH,61/100,22/32,2019/03/26,London Academy
7,MARCY ROUT,47/100,20/32,2019/03/26,London Academy
8,BRION CLAPPSON,44/100,19/32,2019/03/26,London Academy
9,ALMIRE VAUTREY,59/100,17/32,2019/03/26,London Academy
10,RUDY DAVIDDE,56/100,23/32,2019/03/26,London Academy
11,FORBES FOLLOS,51/100,11/32,2019/03/26,London Academy
12,JACENTA ANTONOWICZ,57/100,14/32,2019/03/26,London Academy
13,RAUL AIRLIE,63/100,23/32,2019/03/26,London Academy
14,CLEVE CRAIGS,62/100,21/32,2019/03/26,London Academy
15,JERI BORGES,48/100,17/32,2019/03/26,London Academy
16,RUBIA HARNOTT,43/100,26/32,2019/03/26,London Academy
17,AILI HAGGIDON,47/100,19/32,2019/03/26,London Academy
18,SALAIDH JUMONT,65/100,12/32,2019/03/26,London Academy
19,JILL PAWELEC,56/100,15/32,2019/03/26,London Academy
20,OLENOLIN WRESSELL,62/100,22/32,2019/03/26,London Academy
21,ALTHEA KOPELMAN,54/100,25/32,2019/03/26,London Academy
22,DRE SOUTHERTON,50/100,16/32,2019/03/26,London Academy
23,NEAL GINGLELL,65/100,21/32,2019/03/26,London Academy
24,EMILY YON,51/100,23/32,2019/03/26,London Academy
25,SIGMUND CARNIHAN,44/100,22/32,2019/03/26,London Academy
26,ASHLIE SIVETER,57/100,18/32,2019/03/26,London Academy
27,MAXWELL FADELL,61/100,16/32,2019/03/26,London Academy
28,HOBART CALDEYROUX,62/100,20/32,2019/03/26,London Academy
0,SERGE DE LEEK,52/100,20/32,2019/11/26,London Academy
1,SHARRON STARLING,54/100,18/32,2019/11/26,London Academy
2,CHARLA RILLETT,49/100,29/32,2019/11/26,London Academy
3,MAEGAN CHADD,60/100,23/32,2019/11/26,London Academy
4,ULRICK SWANE,61/100,26/32,2019/11/26,London Academy
5,GIFF DUKES,71/100,22/32,2019/11/26,London Academy
6,CINNAMON ROWE,42/100,21/32,2019/11/26,London Academy
7,KANYA JOBLING,58/100,17/32,2019/11/26,London Academy
8,MAITILDE BLABEY,69/100,22/32,2019/11/26,London Academy
9,VIVIANNE FOLLISS,52/100,19/32,2019/11/26,London Academy
10,EMYLE BYRTH,50/100,17/32,2019/11/26,London Academy
11,ORTON VERMER,59/100,25/32,2019/11/26,London Academy
12,JERRYLEE DE CRUZ,60/100,24/32,2019/11/26,London Academy
13,BRITTANEY ROSKRUGE,57/100,23/32,2019/11/26,London Academy
14,SKELLY GLEWE,36/100,11/32,2019/11/26,London Academy
15,GAR SILL,59/100,16/32,2019/11/26,London Academy
16,JESSALYN PREWETT,64/100,20/32,2019/11/26,London Academy
17,OLGA PYKETT,56/100,16/32,2019/11/26,London Academy
18,MILTON PIERS,53/100,21/32,2019/11/26,London Academy
19,ROBINA MACCOSTYE,50/100,23/32,2019/11/26,London Academy
20,GIACOPO KYNDRED,61/100,15/32,2019/11/26,London Academy
21,LUTHER AIMERIC,54/100,19/32,2019/11/26,London Academy
22,CARLIE HUCK,48/100,15/32,2019/11/26,London Academy
23,CLARI FREDSON,46/100,20/32,2019/11/26,London Academy
24,PAULETTE LUNDBECK,72/100,17/32,2019/11/26,London Academy
0,ELI BURNSIDES,44/100,16/32,2019/09/26,Birmingham Academy
1,VINSON TRAPPE,52/100,21/32,2019/09/26,Birmingham Academy
2,RUPERTA ILLESLEY,54/100,20/32,2019/09/26,Birmingham Academy
3,CECILIO WOFFENDEN,62/100,12/32,2019/09/26,Birmingham Academy
4,HUNTLEE NEWICK,53/100,10/32,2019/09/26,Birmingham Academy
5,FIFI KINGSLY,50/100,26/32,2019/09/26,Birmingham Academy
6,ARLEYNE WITCH,59/100,20/32,2019/09/26,Birmingham Academy
7,LANNI LAVIS,57/100,21/32,2019/09/26,Birmingham Academy
8,PENNIE CROOKSHANKS,56/100,17/32,2019/09/26,Birmingham Academy
9,BUIRON HOOFE,54/100,19/32,2019/09/26,Birmingham Academy
10,ANISSA KEIR,42/100,22/32,2019/09/26,Birmingham Academy
11,RAYSHELL BALFE,56/100,24/32,2019/09/26,Birmingham Academy
12,LUCINA BANASZEWSKI,50/100,19/32,2019/09/26,Birmingham Academy
13,SELIA TOOHEY,43/100,22/32,2019/09/26,Birmingham Academy
14,BELLA DURTNAL,55/100,22/32,2019/09/26,Birmingham Academy
15,BABARA VEAZEY,73/100,18/32,2019/09/26,Birmingham Academy
16,LILLY ANDREASEN,66/100,20/32,2019/09/26,Birmingham Academy
17,CHANCE FLEAY,52/100,18/32,2019/09/26,Birmingham Academy
18,ZEBADIAH ROLLINS,58/100,12/32,2019/09/26,Birmingham Academy
19,LESTER WEDDEBURN - SCRIMGEOUR,54/100,22/32,2019/09/26,Birmingham Academy
20,ZOLLIE DANKS,55/100,18/32,2019/09/26,Birmingham Academy
21,REEVA AMORT,54/100,25/32,2019/09/26,Birmingham Academy
22,JOURDAIN TRIPP,60/100,17/32,2019/09/26,Birmingham Academy
23,STEPHA WILLISON,61/100,24/32,2019/09/26,Birmingham Academy
24,HERMANN CUDDE,60/100,17/32,2019/09/26,Birmingham Academy
25,HERMINA BOAR,61/100,18/32,2019/09/26,Birmingham Academy
26,KELILA CUNAH,64/100,24/32,2019/09/26,Birmingham Academy
27,ERNY MOURANT,58/100,16/32,2019/09/26,Birmingham Academy
28,OREN MEDWELL,58/100,24/32,2019/09/26,Birmingham Academy
29,HURLEE GORI,49/100,16/32,2019/09/26,Birmingham Academy
30,CLYVE GILLHESPY,59/100,24/32,2019/09/26,Birmingham Academy
0,MARCELA PASS,51/100,25/32,2019/08/27,London Academy
1,DARCEY MORDIN,61/100,15/32,2019/08/27,London Academy
2,KEANE GORRISSEN,51/100,12/32,2019/08/27,London Academy
3,OMAR RODRIGO,61/100,22/32,2019/08/27,London Academy
4,DALILA FAIRBURN,45/100,18/32,2019/08/27,London Academy
5,GRAYCE CINNAMOND,44/100,19/32,2019/08/27,London Academy
6,DIANDRA DYHOUSE,50/100,19/32,2019/08/27,London Academy
7,GUSTI HORROD,59/100,17/32,2019/08/27,London Academy
8,REG VANDENHOFF,51/100,15/32,2019/08/27,London Academy
9,JILLIE HOWLES,57/100,20/32,2019/08/27,London Academy
10,CAMILLA FRANCESCHELLI,46/100,25/32,2019/08/27,London Academy
11,ORALIA BARRAT,52/100,21/32,2019/08/27,London Academy
12,NORRI TEMBY,66/100,20/32,2019/08/27,London Academy
13,DODIE LASSELLS,65/100,18/32,2019/08/27,London Academy
14,ALDO BRADNUM,50/100,24/32,2019/08/27,London Academy
15,PIETREK BENNETT,48/100,19/32,2019/08/27,London Academy
16,CHANCEY CLIMER,59/100,19/32,2019/08/27,London Academy
17,JODY PAULE,49/100,19/32,2019/08/27,London Academy
18,VAUGHN WALLINGTON,52/100,26/32,2019/08/27,London Academy
19,KELLIA DAWTREY,47/100,20/32,2019/08/27,London Academy
20,SEAN OVISE,60/100,24/32,2019/08/27,London Academy
21,JIM DWERRYHOUSE,53/100,23/32,2019/08/27,London Academy
22,STACEY POE,46/100,20/32,2019/08/27,London Academy
23,MATTEO CORNEWELL,50/100,16/32,2019/08/27,London Academy
24,LINDA LUTO,52/100,12/32,2019/08/27,London Academy
25,RHODY CUSHION,60/100,19/32,2019/08/27,London Academy
0,MORGANA MCAW,51/100,23/32,2019/02/27,London Academy
1,EMMETT HYNSON,46/100,23/32,2019/02/27,London Academy
2,ADELBERT OAKWELL,50/100,20/32,2019/02/27,London Academy
3,HENRYETTA ALLWELL,60/100,17/32,2019/02/27,London Academy
4,RUFUS O'RUANE,47/100,21/32,2019/02/27,London Academy
5,GILLIE MCAULIFFE,57/100,17/32,2019/02/27,London Academy
6,TIMOTEO PACK,55/100,23/32,2019/02/27,London Academy
7,GLEN SPUNER,63/100,23/32,2019/02/27,London Academy
8,JAN HORROD,63/100,23/32,2019/02/27,London Academy
9,AGGI WILLETTS,50/100,22/32,2019/02/27,London Academy
